B06007_002E,B06007_003E,B06007_004E,B06007_005E,B06007_006E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06008_007E,state,county,tract
659,1234,428,806,33,267,1393,360,168,359,168,231,57,0,50,631,472,172,99,28,425,12,057,005302
4188,396,325,71,390,303,3986,502,126,345,549,533,457,350,1124,30,485,549,1650,1220,1127,12,057,005401
1990,157,125,32,71,102,2016,154,124,146,222,280,313,107,670,58,264,267,663,569,592,12,057,005500
3201,462,295,167,267,262,3375,340,154,601,451,514,392,273,650,137,645,557,1062,854,1459,12,057,005700
3672,292,253,39,414,389,3387,383,166,370,369,555,330,237,977,102,682,675,1135,783,1269,12,057,005800
5443,314,245,69,318,869,4281,483,298,327,253,411,482,226,1801,24,424,550,1738,1691,1979,12,057,005900
4869,112,110,2,168,415,3831,355,270,509,257,293,412,178,1557,119,293,717,1272,1225,1525,12,057,006000
2855,83,36,47,51,156,2464,300,65,428,187,220,237,98,929,21,93,526,998,730,904,12,057,006101
3069,450,410,40,142,254,3179,265,164,505,322,299,205,209,1210,99,349,757,1169,783,1247,12,057,006103
3291,239,197,42,247,378,2894,242,275,325,141,318,529,159,905,101,490,602,1103,729,1163,12,057,006200
3398,177,160,17,222,469,2650,394,136,230,255,353,195,110,977,105,322,671,838,833,1270,12,057,006300
3540,264,228,36,150,459,2829,545,94,267,227,238,267,125,1066,35,284,442,1140,848,1358,12,057,006400
2588,269,194,75,397,278,2492,343,252,346,397,357,213,195,389,278,517,779,680,361,772,12,057,006501
1649,308,239,69,114,106,1747,236,104,343,257,313,142,57,295,119,364,691,324,176,435,12,057,006502
3194,379,232,147,267,237,3352,547,288,558,451,415,409,131,553,222,952,1042,843,262,1178,12,057,006600
4596,300,210,90,275,466,4146,622,363,332,361,318,425,114,1611,154,708,823,1333,1172,1373,12,057,006700
3772,210,123,87,267,490,3547,547,301,402,578,419,531,266,503,367,927,957,746,563,1263,12,057,006801
2913,229,181,48,127,369,2422,259,91,284,252,399,332,82,723,116,465,698,808,505,776,12,057,006802
4707,631,433,198,401,464,4497,738,237,588,774,792,469,158,741,410,1209,1188,881,924,1270,12,057,006900
2692,352,183,169,387,349,2698,340,324,549,395,450,206,169,265,331,949,622,550,198,1042,12,057,007001
2580,385,204,181,260,470,2202,557,280,517,297,252,50,47,202,145,700,737,301,45,1001,12,057,007002
2176,149,96,53,293,225,2170,206,156,295,386,438,223,50,416,70,331,732,555,254,479,12,057,007102
3183,593,461,132,197,553,2843,471,394,444,386,458,334,204,152,367,1064,948,362,208,710,12,057,007103
3385,228,156,72,300,551,3024,409,192,416,490,478,310,128,601,211,948,803,611,455,1139,12,057,007200
1767,74,74,0,73,343,1038,87,66,260,183,132,69,57,184,0,68,545,251,125,92,12,057,007300
3528,403,317,86,120,543,3058,598,299,466,420,562,370,106,237,534,1327,770,257,145,1728,12,057,010103
3110,1063,658,405,74,620,2933,650,231,604,432,326,191,66,433,901,744,900,380,110,1655,12,057,010105
4370,672,432,240,181,815,3796,662,378,670,617,483,502,136,348,576,1512,1073,360,224,2704,12,057,010106
2939,566,298,268,58,471,2796,644,361,641,483,238,179,76,174,459,1258,916,207,159,896,12,057,010107
1830,95,36,59,8,174,1501,235,237,252,229,271,89,68,120,171,625,417,217,105,676,12,057,010108
1448,140,69,71,21,242,1121,280,120,321,185,146,25,3,41,238,561,298,33,19,569,12,057,010203
4041,762,462,300,410,693,4074,854,723,623,604,581,410,102,177,398,1034,1039,584,337,1748,12,057,010204
6016,1095,843,252,1661,1026,6195,642,510,792,846,1089,474,447,1395,235,1086,1701,1901,1214,1080,12,057,010205
7023,1645,1149,496,2072,1311,7631,1415,542,897,796,934,999,379,1669,391,1515,1769,2109,1460,1386,12,057,010209
2292,564,384,180,981,466,2763,428,196,713,229,369,195,89,544,146,402,853,738,594,388,12,057,010210
3923,670,486,184,579,602,3728,693,294,445,352,547,306,46,1045,157,459,706,1296,955,870,12,057,010211
3240,745,535,210,917,788,3352,486,204,419,264,445,316,137,1081,69,306,746,1227,1134,578,12,057,010212
1769,72,68,4,79,293,1385,312,195,167,219,180,135,47,130,194,596,377,178,99,770,12,057,010213
1667,4553,2474,2079,354,1071,4629,816,624,747,820,567,493,206,356,455,1235,1384,1271,569,835,12,011,070322
4259,1799,1443,356,661,835,5079,878,469,765,508,852,566,260,781,313,1160,1626,868,712,2652,12,011,070401
2061,555,373,182,420,373,2225,243,169,278,192,332,206,71,734,147,316,694,634,371,806,12,011,070402
3923,1123,827,296,278,766,3582,526,234,587,432,618,436,265,484,200,1337,1304,377,374,1821,12,011,070403
2638,621,482,139,147,268,2630,460,240,443,290,325,276,76,520,128,463,991,573,328,1220,12,011,070404
3686,885,623,262,668,636,3784,594,344,414,345,462,278,291,1056,130,609,882,1153,962,1217,12,011,070405
3910,1015,677,338,914,642,4411,834,288,491,433,443,450,272,1200,191,636,1187,1206,946,1413,12,011,070501
4737,4607,2244,2363,1093,1617,6856,1235,754,1125,1060,1048,650,178,806,935,1994,2115,1329,709,1921,12,011,070502
2201,1820,837,983,785,843,3376,727,339,471,606,483,322,178,250,521,874,1189,754,222,950,12,011,070601
2634,1126,717,409,434,556,2942,525,190,411,569,484,239,177,347,257,957,1030,618,245,1257,12,011,070602
3197,627,328,299,862,164,4273,804,472,761,463,754,481,169,369,528,1288,1315,706,277,827,12,011,080101
2885,1039,835,204,953,331,3928,1113,443,591,561,554,297,111,258,483,1199,1301,487,178,1078,12,011,080102
793,588,378,210,316,197,1374,246,61,186,216,216,162,56,231,49,274,381,393,280,228,12,011,080103
553,203,159,44,162,113,748,107,79,133,83,181,48,33,84,98,231,212,165,72,241,12,011,080200
1416,499,230,269,473,310,1942,464,329,393,291,132,91,26,216,257,740,548,283,213,315,12,011,080402
2941,1793,1099,694,966,732,4286,656,601,742,576,627,400,129,555,554,1822,909,599,453,994,12,011,080403
1696,618,424,194,416,380,2045,494,75,420,387,373,109,31,156,213,785,569,277,203,654,12,011,080405
2715,1497,1232,265,1292,738,4179,830,276,655,344,722,564,215,573,330,1248,1271,1069,549,780,12,011,080406
5513,569,293,276,532,902,4241,1668,653,725,435,514,117,109,20,979,1294,992,688,147,2629,12,011,080500
3222,1027,758,269,1311,503,4910,573,713,625,490,579,589,185,1156,492,1054,1615,1052,1028,574,12,011,090101
1173,383,187,196,241,261,1453,237,77,207,95,213,184,68,372,22,392,479,328,431,184,12,011,090102
